match_id,date,sport,team_name,opponent_team,player_name,player_position,minutes_played,score,goals,assists,saves,passes_completed,speed,success_rate,team_result,matches_played,matches_won,matches_lost,rating,injuries,cluster
M19,2024-02-03,Football,Chennai Chargers,Delhi Titans,Nirvi Mangat,Midfielder,69,89,2,3,9,1,18.04,52.01,Win,161,76,85,7.51,False,2
M20,2024-06-13,Football,Delhi Titans,Mumbai Warriors,Shayak Krishnan,Defender,30,93,3,5,6,97,14.77,60.78,Loss,47,14,33,9.01,True,2
M21,2024-06-08,Football,Mumbai Warriors,Kolkata Kings,Bhamini Thakur,Goalkeeper,86,56,3,4,1,39,23.24,52.81,Loss,205,4,201,2.04,True,0
M22,2024-03-31,Basketball,Chennai Chargers,Kolkata Kings,Shayak Mann,Guard,75,65,4,10,3,94,12.88,89.46,Loss,281,266,15,9.98,True,1
M23,2025-01-02,Cricket,Delhi Titans,Chennai Chargers,Divyansh Jaggi,Wicket-Keeper,46,10,0,0,4,81,18.75,56.19,Loss,272,79,193,1.79,True,0
M24,2025-04-10,Cricket,Mumbai Warriors,Chennai Chargers,Suhana Cheema,Batsman,84,14,0,8,1,64,7.54,60.62,Draw,138,93,45,6.61,False,2
M25,2023-06-24,Basketball,Chennai Chargers,Kolkata Kings,Shlok Joshi,Forward,86,85,1,9,6,43,14.17,66.1,Draw,286,87,199,9.48,False,0
M26,2024-06-11,Hockey,Kolkata Kings,Delhi Titans,Vihaan Ganesh,Defender,54,52,0,7,6,79,24.06,57.76,Draw,200,73,127,6.27,True,0
M27,2024-02-21,Cricket,Delhi Titans,Kolkata Kings,Faiyaz Raja,Wicket-Keeper,76,45,0,1,4,39,22.98,82.64,Loss,175,44,131,2.24,False,0
M28,2024-06-20,Cricket,Kolkata Kings,Chennai Chargers,Keya Babu,Batsman,47,65,0,6,1,7,19.89,86.79,Win,257,220,37,8.83,False,1
M29,2025-03-17,Cricket,Mumbai Warriors,Chennai Chargers,Riaan Balay,Bowler,52,8,0,8,7,98,10.9,87.69,Draw,12,12,0,7.45,False,2
M30,2024-06-12,Football,Kolkata Kings,Delhi Titans,Bhavin Arora,Forward,80,77,4,7,2,0,17.52,60.12,Loss,50,11,39,5.19,False,2
M31,2024-07-26,Basketball,Chennai Chargers,Delhi Titans,Jivin Golla,Guard,40,35,5,0,7,58,6.16,83.84,Loss,174,168,6,5.71,True,1
M32,2024-04-13,Cricket,Kolkata Kings,Chennai Chargers,Diya Sethi,All-Rounder,72,5,0,2,9,51,18.08,91.57,Loss,152,60,92,3.81,False,2
M33,2024-04-13,Cricket,Mumbai Warriors,Delhi Titans,Ayesha Sharma,Bowler,85,65,0,9,2,67,7.69,50.29,Win,109,54,55,5.67,False,2
M34,2025-05-27,Football,Delhi Titans,Mumbai Warriors,Adira Batta,Goalkeeper,39,19,0,1,1,84,6.58,72.68,Win,105,73,32,5.76,True,2
M35,2024-12-30,Cricket,Chennai Chargers,Delhi Titans,Kanav Golla,Batsman,65,89,0,1,6,26,18.42,73.73,Draw,42,39,3,4.63,True,2
M36,2023-11-29,Basketball,Mumbai Warriors,Delhi Titans,Veer Chauhan,Forward,54,64,2,8,10,25,12.43,90.56,Loss,110,84,26,7.91,False,2
M37,2024-12-19,Cricket,Mumbai Warriors,Delhi Titans,Raunak Hayre,All-Rounder,69,31,0,7,0,78,6.53,59.42,Draw,23,6,17,4.19,True,2
M38,2024-06-15,Cricket,Kolkata Kings,Delhi Titans,Samar Kibe,Batsman,54,41,0,6,4,100,18.09,64.23,Draw,268,221,47,5.47,False,1
M39,2023-11-01,Football,Mumbai Warriors,Chennai Chargers,Vanya Uppal,Midfielder,57,11,5,2,8,9,22.34,87.38,Loss,265,248,17,4.89,True,1
M40,2025-05-07,Cricket,Chennai Chargers,Mumbai Warriors,Sana Choudhury,Wicket-Keeper,32,26,0,8,9,15,6.45,97.44,Win,123,104,19,7.51,False,2
M41,2024-05-18,Hockey,Chennai Chargers,Mumbai Warriors,Kismat Sarma,Forward,45,55,0,7,8,13,6.1,97.87,Loss,53,47,6,5.94,True,2
M42,2024-10-07,Cricket,Chennai Chargers,Mumbai Warriors,Vanya Wali,Bowler,34,14,0,7,4,27,24.0,55.0,Draw,6,2,4,5.2,False,2
M43,2025-05-05,Football,Chennai Chargers,Mumbai Warriors,Eva Bansal,Forward,76,72,5,4,9,39,21.48,94.27,Draw,188,21,167,3.26,False,0
M44,2025-04-11,Cricket,Mumbai Warriors,Chennai Chargers,Neelofar Ratta,Wicket-Keeper,59,7,0,1,9,43,19.83,79.34,Loss,186,42,144,8.08,True,0
M45,2024-02-15,Basketball,Kolkata Kings,Chennai Chargers,Tejas Swamy,Center,63,64,5,4,9,54,7.09,74.52,Win,249,136,113,4.64,False,1
M46,2025-04-24,Football,Mumbai Warriors,Kolkata Kings,Gokul Hora,Midfielder,54,46,4,8,4,14,13.0,71.1,Win,147,25,122,8.11,False,0
M47,2023-08-03,Basketball,Chennai Chargers,Kolkata Kings,Anvi Chandran,Guard,36,5,5,5,3,3,16.14,92.49,Loss,38,33,5,8.26,True,2
M48,2024-03-11,Football,Kolkata Kings,Chennai Chargers,Kismat Hayre,Midfielder,90,28,1,8,1,63,20.24,74.51,Loss,27,7,20,1.24,False,2
M49,2024-03-26,Football,Mumbai Warriors,Kolkata Kings,Sara Tella,Defender,62,63,2,3,3,63,18.76,58.48,Win,285,81,204,1.27,False,0
M50,2023-06-21,Basketball,Mumbai Warriors,Delhi Titans,Amani Singh,Guard,49,18,3,1,0,59,14.72,58.28,Loss,121,5,116,9.09,True,0
M51,2025-03-12,Cricket,Kolkata Kings,Chennai Chargers,Gatik Contractor,Bowler,59,64,0,7,9,23,10.3,52.07,Win,212,211,1,6.75,True,1
M52,2024-09-25,Football,Kolkata Kings,Mumbai Warriors,Manjari Srinivas,Goalkeeper,43,76,1,4,8,43,9.18,67.07,Win,46,44,2,4.03,False,2
M53,2024-11-24,Cricket,Chennai Chargers,Delhi Titans,Aaryahi Virk,Bowler,60,70,0,3,9,9,22.57,57.65,Draw,102,64,38,6.03,True,2
M54,2023-08-02,Hockey,Chennai Chargers,Mumbai Warriors,Nishith Sen,Forward,90,64,0,6,8,48,15.07,94.3,Loss,40,13,27,4.84,True,2
M55,2025-03-11,Cricket,Mumbai Warriors,Delhi Titans,Renee Chakrabarti,All-Rounder,46,55,0,4,7,22,21.11,74.46,Win,2,2,0,9.1,False,2
M56,2024-04-24,Basketball,Mumbai Warriors,Chennai Chargers,Aniruddh Kar,Forward,60,53,1,10,6,80,19.21,53.98,Draw,86,27,59,7.48,False,2
M57,2025-02-14,Hockey,Chennai Chargers,Mumbai Warriors,Kiara Vig,Defender,61,78,0,9,3,54,11.54,81.36,Draw,240,72,168,6.5,True,0
M58,2024-10-15,Cricket,Delhi Titans,Chennai Chargers,Eshani Hari,Bowler,87,99,0,2,7,10,6.46,99.46,Loss,164,6,158,1.51,False,0
M59,2024-04-09,Football,Chennai Chargers,Mumbai Warriors,Kaira Dayal,Goalkeeper,38,41,0,9,5,27,16.87,73.21,Draw,223,138,85,3.02,False,1
M60,2025-04-05,Hockey,Kolkata Kings,Mumbai Warriors,Nirvaan Chaudhry,Defender,59,28,0,2,10,8,7.8,70.27,Loss,105,72,33,9.3,True,2
M61,2025-05-15,Basketball,Mumbai Warriors,Chennai Chargers,Manikya Rajagopal,Guard,46,97,0,2,1,97,17.81,59.04,Loss,158,137,21,1.75,False,1
M62,2024-08-27,Football,Chennai Chargers,Kolkata Kings,Sara Deol,Goalkeeper,37,19,2,2,0,34,18.77,65.19,Draw,35,15,20,5.77,True,2
M63,2024-09-12,Hockey,Delhi Titans,Chennai Chargers,Eshani Jain,Forward,55,11,0,0,7,98,13.68,64.06,Win,288,123,165,7.84,True,0
M64,2024-05-18,Cricket,Mumbai Warriors,Delhi Titans,Hansh Balan,Wicket-Keeper,84,16,0,0,1,26,17.2,87.07,Loss,189,47,142,6.8,True,0
M65,2025-01-02,Hockey,Kolkata Kings,Delhi Titans,Kiaan Saxena,Goalkeeper,89,65,0,5,3,16,12.29,87.49,Win,290,82,208,2.72,True,0
M66,2024-12-03,Hockey,Mumbai Warriors,Chennai Chargers,Siya Kant,Goalkeeper,83,36,0,9,1,84,15.69,79.17,Win,119,79,40,5.61,False,2
M67,2024-10-11,Hockey,Kolkata Kings,Delhi Titans,Arhaan Bajwa,Defender,46,66,0,5,1,12,15.97,74.42,Win,36,26,10,3.85,True,2
M68,2024-09-05,Football,Kolkata Kings,Mumbai Warriors,Krish Chaudhry,Defender,70,87,5,4,9,74,18.74,98.63,Loss,121,79,42,6.64,False,2
M69,2024-01-04,Basketball,Mumbai Warriors,Delhi Titans,Tarini Basu,Guard,83,8,1,8,9,46,12.66,77.27,Win,128,112,16,4.87,False,1
M70,2025-04-11,Basketball,Delhi Titans,Mumbai Warriors,Kavya Kapur,Center,71,24,0,10,2,60,12.57,76.83,Loss,285,16,269,6.17,False,0
M71,2024-06-24,Cricket,Chennai Chargers,Kolkata Kings,Mishti Sankar,Wicket-Keeper,31,22,0,1,10,16,14.73,84.59,Win,181,76,105,8.84,True,0
M72,2023-10-28,Hockey,Chennai Chargers,Delhi Titans,Mehul Venkataraman,Goalkeeper,83,53,0,6,5,56,19.8,51.11,Win,20,20,0,3.4,False,2
M73,2024-08-04,Hockey,Delhi Titans,Kolkata Kings,Pari Kota,Goalkeeper,81,62,0,9,10,17,18.09,80.43,Win,21,21,0,5.99,False,2
M74,2025-02-04,Cricket,Kolkata Kings,Delhi Titans,Shalv Halder,All-Rounder,87,53,0,5,10,74,13.09,75.59,Win,182,30,152,4.22,False,0
M75,2024-06-11,Basketball,Delhi Titans,Chennai Chargers,Diya Rama,Guard,66,71,4,7,9,89,6.64,78.7,Draw,195,125,70,1.9,True,1
M76,2025-04-05,Basketball,Kolkata Kings,Delhi Titans,Alisha Gera,Center,70,5,2,4,7,79,23.0,88.9,Draw,208,183,25,6.23,True,1
M77,2024-08-30,Cricket,Delhi Titans,Chennai Chargers,Dhanuk Dutt,All-Rounder,73,22,0,8,7,4,19.36,91.25,Win,8,2,6,7.11,False,2
M78,2024-12-17,Cricket,Chennai Chargers,Delhi Titans,Aarna Buch,Batsman,63,5,0,7,4,59,21.5,96.44,Loss,116,109,7,9.78,True,1
M79,2025-04-16,Hockey,Chennai Chargers,Delhi Titans,Shalv Sahota,Goalkeeper,85,12,0,7,10,6,14.88,64.55,Loss,158,29,129,4.17,True,0
M80,2024-07-26,Cricket,Kolkata Kings,Delhi Titans,Aarna Boase,Wicket-Keeper,36,87,0,5,6,79,9.12,88.12,Win,75,0,75,2.44,True,2
M81,2025-03-30,Football,Chennai Chargers,Delhi Titans,Charvi Hegde,Midfielder,63,73,2,5,5,15,12.65,94.3,Draw,20,17,3,2.58,False,2
M82,2024-05-07,Basketball,Chennai Chargers,Delhi Titans,Rania Wali,Forward,59,14,1,7,10,16,15.69,58.36,Draw,223,23,200,8.83,False,0
M83,2024-02-17,Hockey,Delhi Titans,Chennai Chargers,Nitara Bhardwaj,Goalkeeper,68,61,0,3,0,92,14.54,74.39,Draw,213,38,175,1.28,False,0
M84,2024-05-13,Cricket,Mumbai Warriors,Delhi Titans,Vritika Sekhon,All-Rounder,58,90,0,4,0,69,9.03,71.26,Draw,180,135,45,6.89,False,1
M85,2024-10-30,Basketball,Mumbai Warriors,Delhi Titans,Aaina Dhar,Forward,43,84,4,10,10,35,5.06,57.35,Loss,282,126,156,2.87,False,0
M86,2024-03-11,Football,Mumbai Warriors,Delhi Titans,Gatik Chaudhari,Defender,83,66,2,3,1,23,24.29,71.17,Draw,101,43,58,9.14,True,2
M87,2024-09-29,Football,Chennai Chargers,Kolkata Kings,Indrans Kumer,Goalkeeper,64,94,2,6,5,34,10.7,81.54,Win,257,130,127,3.01,True,1
M88,2024-12-30,Hockey,Mumbai Warriors,Delhi Titans,Hazel Handa,Goalkeeper,48,70,0,3,2,71,5.68,57.4,Draw,171,19,152,7.0,True,0
M89,2025-04-27,Hockey,Delhi Titans,Chennai Chargers,Kanav Chaudhuri,Midfielder,34,37,0,4,10,88,23.69,81.82,Draw,274,257,17,3.25,False,1
M90,2023-10-18,Hockey,Chennai Chargers,Delhi Titans,Advika Subramanian,Forward,56,5,0,5,6,38,21.54,68.18,Win,61,21,40,2.25,True,2
M91,2025-06-05,Football,Mumbai Warriors,Delhi Titans,Yuvraj  Karan,Goalkeeper,42,48,1,6,3,21,21.16,59.21,Win,40,17,23,4.24,False,2
M92,2024-11-10,Hockey,Kolkata Kings,Chennai Chargers,Stuvan Bhatnagar,Goalkeeper,38,47,0,5,1,13,24.2,54.53,Loss,235,71,164,5.86,True,0
M93,2025-04-20,Hockey,Chennai Chargers,Mumbai Warriors,Faiyaz Shankar,Forward,56,96,0,6,6,81,12.5,64.54,Draw,91,55,36,9.14,True,2
M94,2025-03-20,Cricket,Mumbai Warriors,Chennai Chargers,Rasha Balay,All-Rounder,71,36,0,3,2,84,16.94,96.27,Loss,273,185,88,8.65,True,1
M95,2024-12-09,Cricket,Kolkata Kings,Mumbai Warriors,Tejas Sarma,Wicket-Keeper,84,53,0,4,8,6,7.85,51.98,Win,44,3,41,6.87,False,2
M96,2025-01-09,Hockey,Mumbai Warriors,Kolkata Kings,Yuvaan Brahmbhatt,Midfielder,48,51,0,8,10,66,8.04,92.54,Draw,52,33,19,1.68,True,2
M97,2025-04-27,Cricket,Kolkata Kings,Chennai Chargers,Damini Sidhu,Batsman,51,53,0,1,6,38,13.81,58.37,Loss,293,186,107,5.96,True,1
M98,2025-04-11,Football,Delhi Titans,Chennai Chargers,Dhruv Brahmbhatt,Defender,38,86,3,3,0,94,11.86,64.15,Win,196,58,138,4.34,False,0
M99,2024-06-01,Basketball,Mumbai Warriors,Kolkata Kings,Ishita Srivastava,Center,49,7,5,10,5,15,22.66,98.5,Draw,120,101,19,6.77,False,2
M100,2024-10-14,Basketball,Delhi Titans,Kolkata Kings,Arnav Gour,Guard,38,61,3,10,4,15,22.72,70.75,Draw,83,72,11,5.81,False,2
M101,2023-09-02,Cricket,Mumbai Warriors,Chennai Chargers,Divit Bhatti,Bowler,35,21,0,1,8,20,13.83,54.63,Draw,249,124,125,6.95,True,0
M102,2024-04-27,Hockey,Delhi Titans,Chennai Chargers,Sahil Dar,Forward,67,3,0,2,6,96,14.73,51.53,Loss,105,10,95,5.0,False,2
M103,2024-02-28,Cricket,Mumbai Warriors,Kolkata Kings,Shayak Iyengar,Bowler,53,39,0,1,9,6,11.92,90.19,Draw,287,278,9,3.58,False,1
M104,2024-06-12,Football,Kolkata Kings,Mumbai Warriors,Pranay Devan,Forward,86,50,0,7,10,5,15.88,59.89,Loss,241,69,172,8.45,False,0
M105,2024-12-03,Cricket,Mumbai Warriors,Delhi Titans,Nitya Viswanathan,Wicket-Keeper,61,64,0,4,4,88,12.82,52.54,Loss,32,23,9,6.5,True,2
M106,2025-05-21,Cricket,Mumbai Warriors,Kolkata Kings,Purab D’Alia,Wicket-Keeper,77,50,0,7,3,20,11.13,91.13,Draw,96,75,21,7.6,False,2
M107,2024-04-03,Basketball,Chennai Chargers,Kolkata Kings,Ranbir Sabharwal,Center,34,49,1,5,0,22,8.88,99.05,Win,66,42,24,6.55,True,2
M108,2023-07-17,Cricket,Delhi Titans,Kolkata Kings,Kismat Wali,Wicket-Keeper,77,81,0,2,8,86,7.33,52.96,Win,31,11,20,3.85,True,2
M109,2024-06-09,Football,Mumbai Warriors,Delhi Titans,Khushi Thaman,Forward,87,95,0,9,7,66,21.72,60.48,Loss,235,4,231,2.18,True,0
M110,2025-05-25,Hockey,Chennai Chargers,Mumbai Warriors,Divit Gokhale,Midfielder,67,15,0,3,10,26,23.69,85.47,Draw,6,0,6,1.4,False,2
M111,2023-09-29,Football,Kolkata Kings,Delhi Titans,Divyansh Agrawal,Goalkeeper,71,70,4,8,0,96,17.63,88.11,Draw,232,17,215,7.83,True,0
M112,2024-11-30,Basketball,Kolkata Kings,Delhi Titans,Himmat Bahl,Forward,50,50,2,7,6,70,18.63,67.75,Draw,247,80,167,8.38,True,0
M113,2023-11-14,Hockey,Kolkata Kings,Mumbai Warriors,Amani Trivedi,Goalkeeper,71,55,0,4,1,31,22.99,63.37,Win,3,1,2,6.72,False,2
M114,2023-07-19,Basketball,Kolkata Kings,Chennai Chargers,Navya Varty,Guard,75,29,3,1,7,6,8.12,64.78,Win,55,47,8,8.41,True,2
M115,2024-02-19,Hockey,Kolkata Kings,Mumbai Warriors,Romil Doctor,Goalkeeper,65,74,0,9,5,73,11.99,95.49,Loss,125,97,28,5.1,False,2
M116,2024-03-17,Cricket,Mumbai Warriors,Kolkata Kings,Riaan Lad,Batsman,66,46,0,5,6,34,24.84,63.27,Win,23,7,16,4.92,False,2
M117,2024-03-04,Hockey,Chennai Chargers,Delhi Titans,Raunak Dhillon,Defender,31,45,0,10,1,31,15.6,96.26,Loss,82,28,54,9.91,True,2
M118,2024-01-21,Football,Chennai Chargers,Kolkata Kings,Darshit Chakraborty,Defender,56,88,1,1,4,59,6.76,54.2,Loss,198,142,56,1.45,True,1
M119,2024-01-14,Basketball,Delhi Titans,Chennai Chargers,Tushar Shere,Guard,75,38,5,7,4,20,7.79,57.11,Draw,123,33,90,9.24,False,2
M120,2025-05-21,Hockey,Delhi Titans,Chennai Chargers,Lavanya Biswas,Midfielder,87,5,0,9,5,10,11.71,58.02,Loss,73,15,58,5.15,True,2
M121,2024-01-01,Football,Chennai Chargers,Kolkata Kings,Ojas Kar,Forward,57,72,4,0,1,42,12.76,72.7,Draw,69,2,67,9.2,True,2
M122,2024-01-03,Hockey,Kolkata Kings,Delhi Titans,Keya Dhawan,Forward,78,79,0,1,10,73,9.71,55.33,Win,300,39,261,9.1,True,0
M123,2024-11-04,Cricket,Chennai Chargers,Delhi Titans,Hansh Comar,Batsman,80,29,0,3,6,34,14.83,53.29,Loss,109,9,100,7.04,False,2
M124,2025-03-12,Football,Mumbai Warriors,Kolkata Kings,Baiju Saha,Midfielder,68,23,0,9,5,37,24.4,98.38,Win,119,116,3,1.89,True,1
M125,2024-11-03,Hockey,Chennai Chargers,Mumbai Warriors,Jiya Venkataraman,Forward,73,64,0,7,6,34,19.79,68.86,Win,28,21,7,8.19,False,2
M126,2023-12-05,Basketball,Delhi Titans,Mumbai Warriors,Amira Dugal,Forward,55,57,1,10,10,45,16.5,77.96,Draw,5,0,5,5.18,False,2
M127,2025-06-07,Cricket,Delhi Titans,Mumbai Warriors,Yakshit Chowdhury,Batsman,89,60,0,7,9,46,10.35,59.88,Win,187,88,99,8.76,True,0
M128,2023-10-12,Cricket,Chennai Chargers,Kolkata Kings,Zaina Kibe,Bowler,39,80,0,3,4,30,7.5,52.54,Win,131,71,60,9.85,False,2
M129,2024-09-19,Basketball,Delhi Titans,Chennai Chargers,Ishaan Varughese,Forward,71,40,0,9,2,10,14.36,60.2,Draw,52,37,15,4.14,True,2
M130,2024-12-22,Hockey,Chennai Chargers,Delhi Titans,Jhanvi Shanker,Forward,69,69,0,8,8,63,21.26,98.2,Loss,215,146,69,8.29,True,1
M131,2024-03-03,Hockey,Mumbai Warriors,Kolkata Kings,Anya Gokhale,Goalkeeper,48,63,0,8,8,53,5.86,82.56,Draw,75,49,26,5.03,False,2
M132,2023-12-06,Football,Delhi Titans,Chennai Chargers,Yuvraj  Chaudry,Midfielder,54,36,2,9,8,28,23.32,87.93,Draw,39,0,39,9.03,True,2
M133,2024-06-15,Hockey,Chennai Chargers,Mumbai Warriors,Adah Basak,Forward,58,30,0,5,9,69,17.76,57.97,Loss,226,69,157,6.59,True,0
M134,2023-11-30,Hockey,Chennai Chargers,Kolkata Kings,Riya Uppal,Midfielder,74,80,0,0,2,22,11.81,66.22,Draw,130,79,51,8.49,False,2
M135,2024-11-15,Cricket,Delhi Titans,Mumbai Warriors,Dhanuk Luthra,All-Rounder,45,4,0,8,6,22,17.01,90.21,Win,222,67,155,5.09,False,0
M136,2025-03-22,Football,Mumbai Warriors,Chennai Chargers,Jivika Subramaniam,Forward,85,72,0,4,6,17,17.39,76.9,Draw,6,2,4,2.11,False,2
M137,2025-05-26,Hockey,Chennai Chargers,Kolkata Kings,Indrans Dutt,Defender,41,79,0,6,1,73,8.76,92.23,Win,12,0,12,2.81,True,2
M138,2024-03-10,Cricket,Chennai Chargers,Kolkata Kings,Advik Gour,Batsman,38,22,0,1,1,54,20.53,57.07,Draw,151,48,103,1.18,False,0
M139,2023-11-16,Football,Kolkata Kings,Chennai Chargers,Jivin Khurana,Forward,61,99,5,7,3,5,21.15,94.61,Loss,123,3,120,6.39,False,0
M140,2024-06-05,Hockey,Mumbai Warriors,Kolkata Kings,Saira Lall,Defender,89,23,0,6,2,83,7.13,58.36,Loss,104,98,6,5.03,True,2
M141,2025-03-05,Hockey,Chennai Chargers,Delhi Titans,Pranay Master,Goalkeeper,85,41,0,2,4,48,20.87,71.04,Win,91,69,22,6.14,True,2
M142,2023-07-10,Hockey,Chennai Chargers,Kolkata Kings,Lagan Sachar,Goalkeeper,64,61,0,10,6,92,21.87,91.75,Draw,3,0,3,5.01,True,2
M143,2023-12-24,Cricket,Kolkata Kings,Chennai Chargers,Shanaya Sachar,Wicket-Keeper,72,4,0,4,7,23,19.3,80.7,Draw,74,41,33,2.33,True,2
M144,2023-06-18,Hockey,Chennai Chargers,Delhi Titans,Neysa Sur,Midfielder,48,14,0,10,8,65,5.05,65.78,Loss,181,122,59,2.24,True,1
M145,2023-11-11,Hockey,Mumbai Warriors,Delhi Titans,Tarini Bains,Defender,72,97,0,0,5,100,18.84,54.15,Loss,224,21,203,7.43,False,0
M146,2024-02-28,Football,Mumbai Warriors,Delhi Titans,Gatik Suresh,Forward,71,69,4,7,4,7,5.31,75.25,Win,256,152,104,6.69,True,1
M147,2024-12-10,Basketball,Chennai Chargers,Kolkata Kings,Navya Kunda,Guard,69,95,5,5,5,79,13.47,91.97,Draw,46,25,21,4.3,True,2
M148,2023-12-07,Hockey,Chennai Chargers,Delhi Titans,Chirag Agate,Defender,33,0,0,9,3,26,15.44,78.01,Draw,295,20,275,8.93,True,0
M149,2023-12-14,Cricket,Chennai Chargers,Delhi Titans,Kiaan Ghosh,Bowler,39,42,0,8,8,68,11.41,52.45,Draw,248,15,233,1.25,True,0
M150,2024-01-09,Cricket,Kolkata Kings,Delhi Titans,Hrishita Basak,All-Rounder,48,56,0,3,3,32,18.11,75.75,Draw,231,185,46,8.13,False,1
M151,2023-11-09,Football,Chennai Chargers,Kolkata Kings,Trisha Behl,Defender,38,90,1,7,6,33,12.22,68.36,Loss,16,13,3,3.09,False,2
M152,2024-11-22,Football,Delhi Titans,Chennai Chargers,Sana Sahni,Forward,81,8,2,4,3,55,22.84,93.33,Loss,254,59,195,1.37,True,0
M153,2023-08-20,Basketball,Chennai Chargers,Kolkata Kings,Faiyaz Rao,Center,32,34,2,2,10,90,9.82,93.43,Draw,162,78,84,9.98,True,2
M154,2023-07-10,Cricket,Delhi Titans,Mumbai Warriors,Fateh Sem,All-Rounder,61,38,0,5,4,18,20.3,97.26,Loss,51,2,49,5.72,False,2
M155,2024-03-25,Hockey,Mumbai Warriors,Chennai Chargers,Advika Raval,Defender,71,56,0,0,0,71,15.53,62.22,Loss,116,19,97,6.19,True,2
M156,2023-12-28,Cricket,Kolkata Kings,Chennai Chargers,Kismat Basak,All-Rounder,54,62,0,3,0,35,22.94,75.32,Win,153,20,133,6.71,True,0
M157,2024-09-07,Football,Chennai Chargers,Kolkata Kings,Samiha Baral,Defender,50,53,1,9,2,45,17.93,77.29,Win,284,4,280,8.36,False,0
M158,2023-07-13,Cricket,Chennai Chargers,Mumbai Warriors,Diya Kashyap,Batsman,32,47,0,1,5,72,24.17,96.31,Loss,2,0,2,7.79,True,2
M159,2024-08-09,Basketball,Chennai Chargers,Delhi Titans,Kashvi Swamy,Forward,89,18,3,1,4,44,17.32,63.29,Loss,125,82,43,1.06,True,2
M160,2024-07-30,Cricket,Chennai Chargers,Kolkata Kings,Amira Aggarwal,All-Rounder,61,46,0,8,7,93,7.8,63.35,Loss,269,35,234,5.17,True,0
M161,2024-04-02,Football,Mumbai Warriors,Chennai Chargers,Badal Roy,Defender,72,91,2,10,9,44,15.99,53.05,Loss,190,42,148,9.55,True,0
